1/2/2020,10938.6
1/2/2020,2090
1/2/2020,49575.6
1/2/2020,81317.52
1/2/2020,600
1/2/2020,125753.2
1/2/2020,284067
1/2/2020,75
1/3/2020,21534.6
1/3/2020,4506
1/3/2020,8244.6
1/3/2020,120
1/3/2020,1045
1/3/2020,15120
1/3/2020,64192.32
1/3/2020,5334
1/3/2020,300
1/3/2020,65025
1/3/2020,80511
1/3/2020,5940
1/3/2020,9979.2
1/3/2020,63168
1/3/2020,100683
1/3/2020,540
1/2/2020,210
1/3/2020,140
1/3/2020,280
1/3/2020,280
1/3/2020,70
1/4/2020,810
1/4/2020,70
1/4/2020,210
1/4/2020,210
1/4/2020,31920
1/4/2020,46872
1/4/2020,2084.8
1/4/2020,475
1/6/2020,333396
1/6/2020,75764
1/6/2020,33811.2
1/4/2020,105
1/6/2020,370530
1/6/2020,367848
1/6/2020,540
1/6/2020,450
1/6/2020,287863.2
1/4/2020,28500
1/6/2020,102761.28
1/6/2020,4504
1/6/2020,99
1/6/2020,665
1/6/2020,70
1/6/2020,140
1/6/2020,210
1/6/2020,210
1/6/2020,210
1/6/2020,280
1/7/2020,475
1/7/2020,336
1/7/2020,140
1/7/2020,83.2
1/8/2020,77343.2
1/7/2020,56490.24
1/7/2020,6384
1/7/2020,147
1/8/2020,600
1/8/2020,175842
1/8/2020,360
1/8/2020,5940
1/7/2020,140
1/7/2020,210
1/7/2020,140
1/8/2020,70
1/7/2020,93.6
1/8/2020,104591.52
1/8/2020,25948
1/8/2020,380
1/8/2020,210
1/8/2020,120
1/7/2020,70
1/8/2020,210
1/8/2020,280
1/8/2020,210
1/8/2020,140
1/8/2020,70
1/8/2020,140
1/8/2020,70
1/8/2020,70
1/7/2020,14250
1/9/2020,14250
1/9/2020,4572
1/10/2020,94093.2
1/10/2020,52734
1/10/2020,540
1/9/2020,2945
1/9/2020,165
1/9/2020,11
1/9/2020,17798.4
1/9/2020,70
1/9/2020,140
1/9/2020,221
1/9/2020,210
1/9/2020,210
1/9/2020,140
1/9/2020,140
1/10/2020,210
1/10/2020,4612.6
1/10/2020,190
1/10/2020,135
1/11/2020,21384
1/11/2020,450
1/11/2020,83517.12
1/11/2020,18787.2
1/10/2020,360
1/11/2020,3505
1/11/2020,213
1/11/2020,150.8
1/11/2020,210
1/11/2020,6384
1/11/2020,14250
1/10/2020,350
1/11/2020,140
1/11/2020,210
1/11/2020,140
1/11/2020,70
1/13/2020,600
1/13/2020,125478
1/13/2020,540
1/13/2020,360
1/13/2020,47376
1/13/2020,12236.4
1/13/2020,46872
1/13/2020,3599
1/13/2020,4750
1/13/2020,135
1/14/2020,3800
1/13/2020,140
1/13/2020,140
1/13/2020,249.6
1/14/2020,210
1/14/2020,70
1/14/2020,210
1/14/2020,70
1/14/2020,140
1/14/2020,70
1/15/2020,13834.8
1/15/2020,42615
1/15/2020,210
1/15/2020,140
1/15/2020,70
1/15/2020,70
1/15/2020,140
1/15/2020,280
1/15/2020,140
1/15/2020,280
1/15/2020,140
1/15/2020,119.6
1/15/2020,140
1/14/2020,3726.6
1/14/2020,120
1/14/2020,350
1/14/2020,1425
1/14/2020,14250
1/16/2020,14250
1/15/2020,15120
1/15/2020,1994.8
1/15/2020,190
1/15/2020,165
1/16/2020,140
1/16/2020,140
1/16/2020,140
1/16/2020,210
1/16/2020,140
1/16/2020,140
1/17/2020,108531
1/17/2020,8726.4
1/17/2020,154305
